Table with row headings in column A and column headings in rows 6 to 9.,,,,,,,,,,,,
Table B-1.,,,,,,,,,,,,
People in Poverty by Selected Characteristics:  2017 and 2018,,,,,,,,,,,,
,,,,,,,,,,,,
"(Numbers in thousands. Margin of error in thousands or percentage points as appropriate.  People as of March of the following year.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf)",,,,,,,,,,,,
Characteristic,20171,,,,,2018,,,,,"Change in poverty (2018 less 2017)3,*",
,Total,Below poverty,,,,Total,Below poverty,,,,,
,,Number,Margin of error2 (+/-),Percent,Margin of error2 (+/-),,Number,Margin of error2 (+/-),Percent,Margin of error2 (+/-),Number,Percent
,,,,,,,,,,,,
PEOPLE,,,,,,,,,,,,
Total,"322,548","39,564",896,12.3,0.3,"323,847","38,146",791,11.8,0.2,"*-1,418",*-0.5
,,,,,,,,,,,,
Race4 and Hispanic Origin,,,,,,,,,,,,
White,"247,255","26,026",712,10.5,0.3,"247,634","24,945",615,10.1,0.2,"*-1,082",*-0.5
"White, not Hispanic","195,218","16,619",513,8.5,0.3,"194,815","15,725",453,8.1,0.2,*-894,*-0.4
Black,"42,477","9,224",358,21.7,0.8,"42,773","8,884",416,20.8,1.0,-340,-0.9
Asian,"19,526","1,891",186,9.7,0.9,"19,768","1,996",157,10.1,0.8,105,0.4
Hispanic (any race),"59,051","10,816",457,18.3,0.8,"59,957","10,526",403,17.6,0.7,-290,-0.8
,,,,,,,,,,,,
Sex,,,,,,,,,,,,
Male,"158,111","17,272",477,10.9,0.3,"158,741","16,782",428,10.6,0.3,-489,-0.4
Female,"164,436","22,292",501,13.6,0.3,"165,106","21,363",462,12.9,0.3,*-929,*-0.6
,,,,,,,,,,,,
Age,,,,,,,,,,,,
Under age 18,"73,470","12,759",407,17.4,0.5,"73,284","11,869",415,16.2,0.6,*-890,*-1.2
Aged 18 to 64,"198,012","21,913",573,11.1,0.3,"197,775","21,130",479,10.7,0.2,*-782,*-0.4
Aged 65 and older,"51,066","4,893",198,9.6,0.4,"52,788","5,146",206,9.7,0.4,254,0.2
,,,,,,,,,,,,
Nativity,,,,,,,,,,,,
Native-born,"277,131","33,143",802,12.0,0.3,"278,051","31,828",713,11.4,0.3,"*-1,315",*-0.5
Foreign-born,"45,417","6,421",297,14.1,0.6,"45,796","6,317",283,13.8,0.6,-104,-0.3
