Table with row headings in column A and column headings in rows 6 to 9.,,,,,,,,,,,,,
Table B-2.,,,,,,,,,,,,,
Families and People in Poverty by Type of Family:  2017 and 2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Numbers in thousands. Margin of error in thousands or percentage points as appropriate.  Families as of March of the following year.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf)",,,,,,,,,,,,,
Characteristic,20171,,,,,2018,,,,,"Change in poverty (2018 less 2017)3,*",,
,Total,Below poverty,,,,Total,Below poverty,,,,,,
,,Number,Margin of error2 (+/-),Percent,Margin of error2 (+/-),,Number,Margin of error2 (+/-),Percent,Margin of error2 (+/-),Number,Percent,
,,,,,,,,,,,,,
FAMILIES,,,,,,,,,,,,,
Primary Families4…………………………………,"83,539","7,790",212,9.3,0.2,"83,508","7,504",208,9.0,0.2,*-286,*-0.3,
Married-couple,"61,883","2,933",131,4.7,0.2,"61,971","2,938",119,4.7,0.2,6,Z,
"Female householder, no spouse present","15,305","4,005",147,26.2,0.9,"15,052","3,742",153,24.9,0.9,*-263,*-1.3,
"Male householder, no spouse present","6,351",853,77,13.4,1.1,"6,485",824,79,12.7,1.1,-29,-0.7,
,,,,,,,,,,,,,
Unrelated Subfamilies5…………………………………….,470,154,30,32.7,5.4,467,156,31,33.3,4.8,2,0.6,
,,,,,,,,,,,,,
PEOPLE,,,,,,,,,,,,,
Persons in Families,,,,,,,,,,,,,
In primary families,"261,599","26,720",731,10.2,0.3,"262,010","25,489",699,9.7,0.3,"*-1,231",*-0.5,
Related children under age 18,"72,612","12,358",398,17.0,0.5,"72,425","11,491",410,15.9,0.6,*-866,*-1.2,
Related children under age 6,"23,564","4,436",219,18.8,0.9,"23,395","4,016",194,17.2,0.8,*-420,*-1.7,
In married-couple families,"195,629","10,624",480,5.4,0.2,"196,418","10,518",446,5.4,0.2,-106,-0.1,
Related children under age 18,"49,751","3,961",234,8.0,0.5,"49,983","3,820",246,7.6,0.5,-141,-0.3,
Related children under age 6,"16,632","1,467",120,8.8,0.7,"16,680","1,296",107,7.8,0.6,*-171,*-1.0,
"In families with a female householder,",,,,,,,,,,,,,
no spouse present,"47,517","13,525",506,28.5,0.9,"46,660","12,491",519,26.8,1.0,"*-1,033",*-1.7,
Related children under age 18,"17,574","7,312",308,41.6,1.3,"17,058","6,664",315,39.1,1.5,*-649,*-2.5,
Related children under age 6,"5,191","2,584",164,49.8,2.2,"4,995","2,381",154,47.7,2.4,-203,-2.1,
"In families with a male householder, ",,,,,,,,,,,,,
no spouse present,"18,454","2,571",240,13.9,1.2,"18,932","2,480",227,13.1,1.1,-91,-0.8,
Related children under age 18,"5,287","1,084",122,20.5,2.0,"5,384","1,008",113,18.7,1.9,-76,-1.8,
Related children under age 6,"1,740",386,66,22.2,3.3,"1,719",339,58,19.7,3.1,-46,-2.4,
,,,,,,,,,,,,,
In unrelated subfamilies,"1,113",379,75,34.1,5.7,"1,069",370,73,34.6,5.0,-10,0.5,
Children under age 18,553,215,44,38.9,6.6,539,202,41,37.5,5.8,-13,-1.4,
,,,,,,,,,,,,,
Persons not in Families,,,,,,,,,,,,,
Unrelated Individuals,"59,835","12,465",389,20.8,0.5,"60,768","12,287",338,20.2,0.5,-178,-0.6,
Male,"29,346","5,366",237,18.3,0.7,"29,887","5,301",232,17.7,0.7,-65,-0.5,
Female,"30,489","7,099",248,23.3,0.7,"30,881","6,986",219,22.6,0.6,-113,-0.7,
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,,
Z Represents or rounds to zero.,,,,,,,,,,,,,
1The 2017 data reflect the implementation of an updated processing system.  See Appendix D for more information.,,,,,,,,,,,,,
"2A margin of error is a measure of an estimate's variability.  The larger the margin of error in relation to the size of the estimate, the less reliable the estimate.  This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.  Margin of errors shown in this table are based on standard errors calculated using replicate weights.  For more information, see ""Standard Errors and Their Use"" at <www2.census.gov/library/publications/2019/demo/p60-266sa.pdf>.",,,,,,,,,,,,,
3Details may not sum to totals because of rounding.,,,,,,,,,,,,,
"4A primary family is a group of two or more people, one of whom is the householder, related by birth, marriage, or adoption and residing together. All such people (including related subfamily members) are considered as members of one family.",,,,,,,,,,,,,
"5An unrelated subfamily is defined as a married couple with or without children or a single parent with one or more own, never-married, children under the age of 18 living in a household and not related by birth, marriage, or adoption to the householder.",,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2018 and 2019 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,,
d,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
